White Dragon Wyrmling	2
Young White Dragon	6
Adult White Dragon	13
Ancient White Dragon	20
Wight	3
Will-o’-Wisp	2
Winter Wolf	3
Worg	1/2
Wraith	5
Wyvern	6
Xorn	5
Zombie	1/4
Ogre Zombie	2
Allosaurus	2
Ankylosaurus	3
Ape	1/2
Archelon	4
Baboon	0
Badger	0
Bat	0
Black Bear	1/2
Blood Hawk	1/8
Boar	1/4
Brown Bear	1
Camel	1/8
Cat	0
Constrictor Snake	1/4
Crab	0
Crocodile	1/2
Deer	0
Dire Wolf	1
Draft Horse	1/4
Eagle	0
Elephant	4
Elk	1/4
Flying Snake	1/8
Frog	0
Giant Ape	7
Giant Badger	1/4
Giant Bat	1/4
Giant Boar	2
Giant Centipede	1/4
Giant Constrictor Snake	2
Giant Crab	1/8
Giant Crocodile	5
Giant Eagle	1
Giant Elk	2
Giant Fire Beetle	0
Giant Frog	1/4
Giant Goat	1/2
Giant Hyena	1
Giant Lizard	1/4
Giant Octopus	1
Giant Owl	1/4
Giant Rat	1/8
Giant Scorpion	3
Giant Seahorse	1/2
Giant Shark	5
Giant Spider	1
Giant Toad	1
Giant Venomous Snake	1/4
Giant Vulture	1
Giant Wasp	1/2
Giant Weasel	1/8
Giant Wolf Spider	1/4
Goat	0
Hawk	0
Hippopotamus	4
Hunter Shark	2
Hyena	0
Jackal	0
Killer Whale	3
Lion	1
Lizard	0
Mammoth	6
Mastiff	1/8
Mule	1/8
Octopus	0
Owl	0
Panther	1/4
Piranha	0
Plesiosaurus	2
Polar Bear	2
Pony	1/8
Pteranodon	1/4
Rat	0
Raven	0
Reef Shark	1/2
Rhinoceros	2
Riding Horse	1/4
Saber-Toothed Tiger	2
Scorpion	0
Seahorse	0
Spider	0
Swarm of Bats	1/4
Swarm of Insects	1/2
Swarm of Piranhas	1
Swarm of Rats	1/4
Swarm of Ravens	1/4
Swarm of Venomous Snakes	2
Tiger	1
Triceratops	5
Tyrannosaurus Rex	8
Venomous Snake	1/8
Vulture	0
Warhorse	1/2
Weasel	0
Wolf	1/4
