3	Fear
1	Feather Fall
1	Find Familiar
2	Find Steed
2	Find Traps
7	Finger of Death
3	Fireball
6	Find the Path
0	Fire Bolt
4	Fire Shield
7	Fire Storm
2	Flame Blade
5	Flame Strike
2	Flaming Sphere
6	Flesh to Stone
1	Floating Disk
3	Fly
1	Fog Cloud
6	Forbiddance
7	Forcecage
9	Foresight
4	Freedom of Movement
6	Freezing Sphere
3	Gaseous Form
9	Gate
5	Geas
2	Gentle Repose
4	Giant Insect
8	Glibness
6	Globe of Invulnerability
3	Glyph of Warding
1	Goodberry
1	Grease
4	Greater Invisibility
5	Greater Restoration
4	Guardian of Faith
6	Guards and Wards
0	Guidance
1	Guiding Bolt
2	Gust of Wind
5	Hallow
4	Hallucinatory Terrain
6	Harm
3	Haste
6	Heal
1	Healing Word
2	Heat Metal
1	Hellish Rebuke
6	Heroes’ Feast
1	Heroism
1	Hex
1	Hideous Laughter
5	Hold Monster
2	Hold Person
8	Holy Aura
1	Hunter’s Mark
3	Hypnotic Pattern
1	Ice Knife
4	Ice Storm
1	Identify
1	Illusory Script
9	Imprisonment
8	Incendiary Cloud
1	Inflict Wounds
5	Insect Plague
6	Instant Summons
6	Irresistible Dance
2	Invisibility
1	Jump
2	Knock
5	Legend Lore
2	Lesser Restoration
2	Levitate
0	Light
3	Lightning Bolt
2	Locate Animals or Plants
4	Locate Creature
2	Locate Object
1	Longstrider
1	Mage Armor
0	Mage Hand
3	Magic Circle
6	Magic Jar
1	Magic Missile
2	Magic Mouth
2	Magic Weapon
7	Magnificent Mansion
3	Major Image
5	Mass Cure Wounds
9	Mass Heal
3	Mass Healing Word
6	Mass Suggestion
8	Maze
3	Meld into Stone
0	Mending
0	Message
9	Meteor Swarm
8	Mind Blank
2	Mind Spike
0	Minor Illusion
7	Mirage Arcane
2	Mirror Image
5	Mislead
2	Misty Step
5	Modify Memory
2	Moonbeam
6	Move Earth
3	Nondetection
5	Passwall
2	Pass without Trace
2	Phantasmal Force
4	Phantasmal Killer
3	Phantom Steed
6	Planar Ally
5	Planar Binding
7	Plane Shift
3	Plant Growth
0	Poison Spray
4	Polymorph
9	Power Word Heal
9	Power Word Kill
8	Power Word Stun
2	Prayer of Healing
0	Prestidigitation
7	Prismatic Spray
9	Prismatic Wall
4	Private Sanctum
0	Produce Flame
6	Programmed Illusion
7	Project Image
3	Protection from Energy
1	Protection from Evil and Good
2	Protection from Poison
1	Purify Food and Drink
5	Raise Dead
2	Ray of Enfeeblement
0	Ray of Frost
7	Regenerate
1	Ray of Sickness
5	Reincarnate
3	Remove Curse
4	Resilient Sphere
0	Resistance
7	Resurrection
7	Reverse Gravity
3	Revivify
2	Rope Trick
0	Sacred Flame
1	Sanctuary
2	Scorching Ray
5	Scrying
1	Searing Smite
4	Secret Chest
2	See Invisibility
5	Seeming
3	Sending
7	Sequester
9	Shapechange
2	Shatter
1	Shield
1	Shield of Faith
0	Shillelagh
2	Shining Smite
0	Shocking Grasp
2	Silence
1	Silent Image
7	Simulacrum
1	Sleep
3	Sleet Storm
3	Slow
0	Sorcerous Burst
0	Spare the Dying
1	Speak with Animals
3	Speak with Dead
3	Speak with Plants
2	Spider Climb
2	Spike Growth
3	Spirit Guardians
2	Spiritual Weapon
0	Starry Wisp
3	Stinking Cloud
4	Stone Shape
4	Stoneskin
9	Storm of Vengeance
2	Suggestion
5	Summon Dragon
6	Sunbeam
8	Sunburst
7	Symbol
5	Telekinesis
5	Telepathic Bond
7	Teleport
5	Teleportation Circle
0	Thaumaturgy
1	Thunderwave
9	Time Stop
3	Tiny Hut
3	Tongues
6	Transport via Plants
5	Tree Stride
9	True Polymorph
9	True Resurrection
6	True Seeing
0	True Strike
8	Tsunami
1	Unseen Servant
3	Vampiric Touch
0	Vicious Mockery
4	Vitriolic Sphere
4	Wall of Fire
5	Wall of Force
6	Wall of Ice
5	Wall of Stone
6	Wall of Thorns
2	Warding Bond
3	Water Breathing
3	Water Walk
2	Web
9	Weird
6	Wind Walk
3	Wind Wall
9	Wish
6	Word of Recall
2	Zone of Truth
